City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,sarupathar,26.1984,93.8094,13.36,84,87,0.95,IN,1707410875
191,nar'yan-mar,67.6713,53.087,-9.94,95,99,3.58,RU,1707410875
192,uacu cungo,-11.3634,15.1208,21.19,84,70,0.8,AO,1707410875
193,namibe,-15.1961,12.1522,26.45,74,80,4.78,AO,1707410875
194,kerikeri,-35.2268,173.9474,16.06,89,52,2.22,NZ,1707410875
195,yei,4.095,30.6779,30.23,25,65,1.56,SS,1707410875
196,vadso,70.0744,29.7487,-15.91,85,75,5.14,NO,1707410875
197,hithadhoo,-0.6,73.0833,28.31,74,100,4.58,MV,1707410876
198,rongelap,11.1635,166.8941,26.22,86,92,9.04,MH,1707410876
199,shar,49.5886,81.0453,-3.9,75,100,8.4,KZ,1707410876
200,puchov,49.1249,18.326,10.12,98,100,2.78,SK,1707410876
201,ijmuiden,52.4573,4.6111,3.26,95,75,7.2,NL,1707410876
202,jiangyou,31.7667,104.7167,6.08,67,92,0.53,CN,1707410876
203,dunedin,-45.8742,170.5036,9.89,75,16,0.89,NZ,1707410857
204,laguna,38.421,-121.4238,8.36,94,100,1.54,US,1707410876
205,egilsstadir,65.2653,-14.3948,-9.05,67,0,3.09,IS,1707410877
206,vinaros,40.4703,0.4756,19.2,65,84,2.06,ES,1707410877
207,basco,20.4487,121.9702,22.79,76,46,8.35,PH,1707410877
208,colonia,50.9333,6.95,13.36,92,100,3.6,DE,1707410662
209,vila franca do campo,37.7167,-25.4333,18.27,99,70,9.42,PT,1707410877
210,yuzhno-kurilsk,44.0306,145.8556,-5.67,80,23,6.02,RU,1707410877
211,ixtapa,20.7,-105.2,26.24,64,20,1.03,MX,1707410877
212,dzhankoy,45.7167,34.4,8.47,82,100,5.19,UA,1707410679
213,bikenibeu village,1.3673,173.1241,28.98,79,75,5.14,KI,1707410878
214,monte alegre de minas,-18.8706,-48.8808,24.02,76,98,1.64,BR,1707410878
215,maragogi,-9.0122,-35.2225,30.88,61,40,5.95,BR,1707410878
216,kourou,5.1552,-52.6478,29.03,65,62,4.28,GF,1707410878
217,puente alto,-33.6167,-70.5833,32.22,34,0,2.57,CL,1707410878
218,gadzhiyevo,69.2551,33.3362,-24.54,100,91,3.11,RU,1707410878
219,afif,23.9065,42.9172,18.24,40,70,4.86,SA,1707410878
220,lewistown,40.5992,-77.5714,10.89,73,0,0.0,US,1707410878
221,alice springs,-23.7,133.8833,25.12,20,46,3.13,AU,1707410879
222,new norfolk,-42.7826,147.0587,15.72,90,84,1.65,AU,1707410879
223,safotu,-13.4513,-172.4018,28.54,89,100,11.41,WS,1707410879
224,kintinku,-5.8833,35.2333,25.17,70,26,0.86,TZ,1707410879
225,celestun,20.8667,-90.4,25.14,56,0,4.88,MX,1707410879
226,carutapera,-1.195,-46.02,30.66,63,60,4.78,BR,1707410879
227,carriere,10.0341,-12.8657,37.6,8,22,3.08,GN,1707410880
228,tolanaro,-25.0319,46.9987,26.04,83,20,9.77,MG,1707410880
229,orichi,58.4036,49.0572,-12.92,99,95,2.4,RU,1707410880
230,verkhnevilyuysk,63.4453,120.3167,-37.93,100,100,1.05,RU,1707410880
231,shenjiamen,29.9576,122.298,4.16,74,38,5.14,CN,1707410880
232,ban karon,7.8477,98.2985,25.95,74,19,4.39,TH,1707410880
233,panama city beach,30.1766,-85.8055,18.34,71,0,4.12,US,1707410880
234,lorengau,-2.0226,147.2712,27.5,83,100,5.28,PG,1707410880
235,zhumadian,32.9794,114.0294,1.02,84,100,2.57,CN,1707410881
236,newnham,-41.3833,147.1333,10.53,93,42,3.09,AU,1707410881
237,nova sintra,14.8667,-24.7167,21.94,73,0,4.99,CV,1707410881
238,homer,59.6425,-151.5483,-0.67,88,20,2.24,US,1707410881
239,gizo,-8.103,156.8419,27.44,85,100,9.86,SB,1707410881
240,san patricio,28.017,-97.5169,22.92,71,100,4.84,US,1707410881
241,humaita,-7.5061,-63.0208,35.73,47,95,1.19,BR,1707410881
242,mandan,46.8267,-100.8896,-0.91,94,75,9.77,US,1707410881
243,sweetwater,25.7634,-80.3731,25.01,64,75,5.14,US,1707410641
244,obudu,6.6674,9.1716,33.54,16,93,1.48,NG,1707410882
245,howard springs,-12.497,131.047,26.95,94,100,1.77,AU,1707410882
246,hecun,36.5333,114.1111,1.95,60,0,2.55,CN,1707410882
247,betio village,1.358,172.9211,29.02,76,100,8.82,KI,1707410882
248,ghat,24.9647,10.1728,18.53,17,55,2.8,LY,1707410882
249,emiliano zapata,18.8333,-99.1833,25.37,33,0,0.0,MX,1707410883
250,kapuskasing,49.4169,-82.4331,3.0,81,100,4.63,CA,1707410665
251,la ronge,55.1001,-105.2842,-9.86,85,75,2.57,CA,1707410883
252,kone,-21.0595,164.8658,22.96,88,100,1.8,NC,1707410883
253,al jubayl,27.0112,49.6583,17.91,52,0,3.92,SA,1707410801
254,balikpapan,-1.2675,116.8289,28.55,79,40,0.0,ID,1707410883
255,narrabri,-30.3167,149.7833,20.29,76,97,1.79,AU,1707410883
256,mount pearl,47.5166,-52.7813,0.25,89,100,7.72,CA,1707410884
257,royal palm beach,26.7084,-80.2306,24.99,66,75,5.14,US,1707410884
258,skowhegan,44.7651,-69.7192,5.32,66,28,0.49,US,1707410884
259,harstad,68.799,16.5293,-3.25,79,97,8.49,NO,1707410884
260,tamanrasset,22.785,5.5228,22.95,8,0,3.09,DZ,1707410884
261,zhanjiang,21.2815,110.3427,11.1,82,100,4.89,CN,1707410884
